status,location_speed,httpcode_5m_200,httpcode_5m_302,httpcode_5m_404,httpcode_5m_403,httpcode_5m_500,httpcode_30m_200,httpcode_30m_302,httpcode_30m_404,httpcode_30m_403,httpcode_30m_500,httpcode_1d_200,httpcode_1d_302,httpcode_1d_404,httpcode_1d_403,httpcode_1d_500,body_bytes_sent,upstream_response_time,httpcode_total_200,httpcode_total_302,httpcode_total_404,httpcode_total_403,httpcode_total_500,request_time,lremote_addr,location_city,is_good
200,74.9163305917,3,2,0,0,0,19,8,1,2,0,965,112,63,75,36,152,0.991999983788,1490,150,93,135,138,0.875,202.101.77.237,贵阳,1
500,167.501565169,0,0,0,0,2,38,0,0,0,13,768,69,37,51,46,152,0.875,1230,98,74,82,73,0.875,211.137.180.198,城市缺失,1
200,37.4125515099,13,0,0,0,0,50,0,0,2,12,859,44,77,29,59,35114,0.875,1409,59,108,34,109,0.991999983788,59.172.76.233,武汉,1
500,129.714066267,0,0,0,0,2,65,0,1,0,2,862,75,32,50,59,35114,0.875,1467,110,65,120,111,0.991999983788,211.137.180.198,城市缺失,1
200,124.860103352,5,0,10,0,0,39,2,13,10,1,968,48,63,86,67,35114,0.875,1468,55,104,112,96,0.677999973297,124.72.93.18,厦门市,1
200,37.1020080575,14,2,10,0,0,56,3,10,0,0,833,80,92,63,23,35114,0.991999983788,1370,92,139,91,54,0.875,124.72.93.18,厦门市,1
500,0.0,1,0,0,3,3,42,1,0,5,4,844,56,73,68,56,35114,0.991999983788,1212,77,84,98,97,0.991999983788,58.60.3.110,深圳市,1
200,121.79458315,15,0,0,0,2,59,2,0,0,24,1001,61,69,68,63,152,0.875,1443,76,92,83,115,0.677999973297,218.80.192.83,上海,1
200,52474.6988357,15,2,10,0,0,57,3,10,0,0,834,80,92,63,23,152,0.875,1371,92,139,91,54,0.875,211.137.180.198,城市缺失,1
200,14348.5874652,14,0,0,0,0,51,0,0,2,12,860,44,77,29,59,35114,0.991999983788,1410,59,108,34,109,0.991999983788,219.137.225.57,广州,1
200,135.240556263,33,0,2,2,2,75,3,3,3,2,862,34,43,40,34,35114,0.660000026226,1436,62,102,89,89,0.991999983788,211.137.180.198,城市缺失,1
200,19970.4304431,6,0,10,0,0,40,2,13,10,1,969,48,63,86,67,152,0.660000026226,1469,55,104,112,96,0.991999983788,202.101.77.237,贵阳,1
200,63992.2726919,13,0,0,0,0,52,0,0,2,12,861,44,77,29,59,152,0.875,1411,59,108,34,109,0.677999973297,211.137.180.198,城市缺失,1
404,37520.5304681,9,0,2,0,0,75,3,4,3,2,862,34,44,40,34,35114,0.875,1436,62,103,89,89,0.875,211.142.12.218,城市缺失,1
200,10226.7887315,4,0,0,0,10,60,2,0,0,24,1002,61,69,68,63,35114,0.660000026226,1444,76,92,83,115,0.991999983788,211.142.12.218,城市缺失,1
403,7481.64421509,2,1,1,2,0,19,8,1,3,0,965,112,63,76,36,35114,0.875,1490,150,93,136,138,0.677999973297,211.142.12.218,城市缺失,1
200,0.0,14,0,0,0,0,66,0,1,0,2,863,75,32,50,59,35114,0.875,1468,110,65,120,111,0.875,211.137.180.198,城市缺失,1
200,69.0331086897,14,0,0,0,0,103,10,0,10,0,911,54,80,30,64,35114,0.991999983788,1364,115,119,49,85,0.875,218.28.234.21,郑州,1
302,20069.6985495,11,2,0,0,0,57,4,10,0,0,834,81,92,63,23,152,0.875,1371,93,139,91,54,0.677999973297,202.101.77.237,贵阳,1
200,12929.84066,14,0,0,0,1,41,2,13,10,1,970,48,63,86,67,152,0.875,1470,55,104,112,96,0.677999973297,59.172.76.233,武汉,1
200,3603.19602849,6,0,0,0,1,39,0,0,0,13,769,69,37,51,46,35114,0.875,1231,98,74,82,73,0.875,218.80.192.83,上海,1
200,96060.5303121,7,0,0,0,1,40,0,0,0,13,770,69,37,51,46,152,0.991999983788,1232,98,74,82,73,0.991999983788,124.72.93.18,厦门市,1
200,25041.4839927,3,0,0,1,0,53,0,0,2,12,862,44,77,29,59,152,0.660000026226,1412,59,108,34,109,0.875,116.52.147.144,昆明,1
200,30898.2200977,9,0,0,0,0,41,0,0,0,13,771,69,37,51,46,35114,0.660000026226,1233,98,74,82,73,0.875,219.137.225.57,广州,1
200,13379.4030954,10,0,0,0,0,42,0,0,0,13,772,69,37,51,46,35114,0.660000026226,1234,98,74,82,73,0.875,58.60.3.110,深圳市,1
404,15520.8413081,2,0,2,0,0,41,2,14,10,1,970,48,64,86,67,35114,0.875,1470,55,105,112,96,0.677999973297,124.72.93.18,厦门市,1
200,81229.799302,11,0,0,0,0,43,0,0,0,13,773,69,37,51,46,35114,0.875,1235,98,74,82,73,0.875,218.28.234.21,郑州,1
200,162459.598604,12,0,0,0,0,44,0,0,0,13,774,69,37,51,46,152,0.875,1236,98,74,82,73,0.991999983788,58.60.3.110,深圳市,1
500,2495.95326932,1,1,0,0,2,42,1,0,5,5,844,56,73,68,57,152,0.991999983788,1212,77,84,98,98,0.875,124.72.93.18,厦门市,1
302,96060.5303121,1,2,0,0,2,42,2,0,5,5,844,57,73,68,57,152,0.875,1212,78,84,98,98,0.991999983788,218.80.192.83,上海,1
200,65.7048770944,15,0,0,0,0,56,0,0,0,1,885,42,43,50,51,152,0.875,1442,76,77,94,85,0.677999973297,124.72.93.18,厦门市,1
200,23298.835517,3,0,2,0,0,42,2,14,10,1,971,48,64,86,67,35114,0.875,1471,55,105,112,96,0.875,202.101.77.237,贵阳,1
200,95.8799815513,14,0,0,0,0,60,0,0,0,0,940,49,42,66,40,152,0.660000026226,1293,81,66,96,79,0.875,124.72.93.18,厦门市,1
200,4162.26524785,4,0,0,1,0,76,3,4,3,2,863,34,44,40,34,152,0.875,1437,62,103,89,89,0.991999983788,58.60.3.110,深圳市,1
200,8343.966519,12,0,0,0,0,58,4,10,0,0,835,81,92,63,23,152,0.991999983788,1372,93,139,91,54,0.991999983788,218.28.234.21,郑州,1
200,0.0,8,0,0,0,0,67,0,1,0,2,864,75,32,50,59,35114,0.875,1469,110,65,120,111,0.991999983788,211.137.180.198,城市缺失,1
200,0.0,22,10,0,0,0,104,10,0,10,0,912,54,80,30,64,35114,0.660000026226,1365,115,119,49,85,0.991999983788,218.28.234.21,郑州,1
403,26267.2623778,4,0,0,2,0,76,3,4,4,2,863,34,44,41,34,152,0.660000026226,1437,62,103,90,89,0.991999983788,202.101.77.237,贵阳,1
200,6845.76340956,12,0,0,0,0,61,2,0,0,24,1003,61,69,68,63,35114,0.660000026226,1445,76,92,83,115,0.875,116.52.147.144,昆明,1
403,9127.87045386,13,0,0,2,10,53,0,0,3,12,862,44,77,30,59,152,0.991999983788,1412,59,108,35,109,0.677999973297,59.172.76.233,武汉,1
200,13692.1449082,9,0,0,0,0,68,0,1,0,2,865,75,32,50,59,152,0.991999983788,1470,110,65,120,111,0.677999973297,218.80.192.83,上海,1
200,143470.785226,10,0,0,0,0,69,0,1,0,2,866,75,32,50,59,152,0.991999983788,1471,110,65,120,111,0.991999983788,219.137.225.57,广州,1
200,0.0,15,0,0,0,0,63,3,2,1,2,863,44,77,30,59,152,0.991999983788,1413,59,108,35,109,0.991999983788,59.172.76.233,武汉,1
200,37283.2268608,6,10,0,0,0,87,11,0,1,0,1004,61,69,68,63,152,0.991999983788,1446,76,92,83,115,0.875,124.72.93.18,厦门市,1
200,6861.46645086,2,0,0,0,0,45,0,11,0,0,886,42,43,50,51,35114,0.875,1443,76,77,94,85,0.991999983788,218.80.192.83,上海,1
200,2774.84349857,4,0,0,0,0,87,2,4,0,0,966,112,63,76,36,35114,0.660000026226,1491,150,93,136,138,0.875,58.60.3.110,深圳市,1
302,5924.66503401,14,2,0,0,0,40,4,10,1,10,844,58,73,68,57,35114,0.875,1212,79,84,98,98,0.677999973297,218.28.234.21,郑州,1
200,11222.4663226,22,0,0,0,1,68,0,0,1,1,864,34,44,41,34,35114,0.660000026226,1438,62,103,90,89,0.991999983788,211.142.12.218,城市缺失,1
200,10689.2657682,23,0,0,0,0,75,10,0,4,1,972,48,64,86,67,35114,0.660000026226,1472,55,105,112,96,0.875,218.80.192.83,上海,1
200,10303.3103924,4,0,10,0,0,15,0,12,10,2,836,81,92,63,23,152,0.660000026226,1373,93,139,91,54,0.677999973297,219.137.225.57,广州,1
200,130947.637354,5,0,10,0,0,16,0,12,10,2,837,81,92,63,23,152,0.660000026226,1374,93,139,91,54,0.875,116.52.147.144,昆明,1
200,20143.8611156,15,2,0,0,0,41,4,10,1,10,845,58,73,68,57,152,0.660000026226,1213,79,84,98,98,0.875,218.80.192.83,上海,1
200,5737.49839819,12,0,0,10,0,57,0,3,11,10,775,69,37,51,46,152,0.991999983788,1237,98,74,82,73,0.677999973297,116.52.147.144,昆明,1
403,0.0,33,0,0,2,0,87,11,0,2,0,1004,61,69,69,63,152,0.660000026226,1446,76,92,84,115,0.875,124.72.93.18,厦门市,1
200,6642.83505518,5,0,0,1,0,51,0,1,1,0,941,49,42,66,40,152,0.660000026226,1294,81,66,96,79,0.875,218.28.234.21,郑州,1
200,30063.7881473,34,0,0,2,0,88,11,0,2,0,1005,61,69,69,63,152,0.991999983788,1447,76,92,84,115,0.875,211.142.12.218,城市缺失,1
200,7307.1185607,4,0,0,0,0,51,0,0,0,11,913,54,80,30,64,35114,0.991999983788,1366,115,119,49,85,0.677999973297,124.72.93.18,厦门市,1
200,0.0,5,0,0,0,0,52,0,0,0,11,914,54,80,30,64,35114,0.991999983788,1367,115,119,49,85,0.991999983788,124.72.93.18,厦门市,1
200,7194.23611273,7,0,0,0,0,46,0,11,0,0,887,42,43,50,51,35114,0.875,1444,76,77,94,85,0.991999983788,218.28.234.21,郑州,1
200,162459.598604,8,0,0,0,0,47,0,11,0,0,888,42,43,50,51,35114,0.875,1445,76,77,94,85,0.991999983788,58.60.3.110,深圳市,1
200,20190.8353399,3,1,0,0,0,42,4,10,1,10,846,58,73,68,57,35114,0.875,1214,79,84,98,98,0.875,202.101.77.237,贵阳,1
200,14388.4722255,6,0,0,1,0,52,0,1,1,0,942,49,42,66,40,152,0.991999983788,1295,81,66,96,79,0.677999973297,218.80.192.83,上海,1
200,45857.6183247,14,0,0,0,0,43,4,10,1,10,847,58,73,68,57,35114,0.660000026226,1215,79,84,98,98,0.991999983788,219.137.225.57,广州,1
200,10405.6631196,41,0,0,0,0,89,11,0,2,0,1006,61,69,69,63,35114,0.660000026226,1448,76,92,84,115,0.677999973297,58.60.3.110,深圳市,1
200,0.0,2,0,0,0,1,17,0,12,10,2,838,81,92,63,23,152,0.660000026226,1375,93,139,91,54,0.677999973297,116.52.147.144,昆明,1
200,4185.00467734,14,0,0,1,0,70,2,0,1,0,867,75,32,50,59,35114,0.660000026226,1472,110,65,120,111,0.875,59.172.76.233,武汉,1
200,10245.5328539,14,0,2,1,10,58,0,3,11,10,776,69,37,51,46,152,0.991999983788,1238,98,74,82,73,0.875,58.60.3.110,深圳市,1
403,16638.1404467,14,0,0,2,0,70,2,0,2,0,867,75,32,51,59,35114,0.660000026226,1472,110,65,121,111,0.991999983788,211.142.12.218,城市缺失,1
500,44866.9905381,2,0,0,0,2,17,0,12,10,3,838,81,92,63,24,35114,0.660000026226,1375,93,139,91,55,0.677999973297,218.28.234.21,郑州,1
200,0.0,4,10,0,0,0,76,10,0,4,1,973,48,64,86,67,35114,0.991999983788,1473,55,105,112,96,0.677999973297,218.80.192.83,上海,1
200,17737.2389752,4,0,0,0,0,48,0,11,0,0,889,42,43,50,51,152,0.660000026226,1446,76,77,94,85,0.875,211.137.180.198,城市缺失,1
200,10982.194385,15,0,2,1,10,59,0,3,11,10,777,69,37,51,46,35114,0.991999983788,1239,98,74,82,73,0.677999973297,124.72.93.18,厦门市,1
200,7941.86948288,6,0,0,0,0,44,4,10,1,10,848,58,73,68,57,35114,0.991999983788,1216,79,84,98,98,0.677999973297,211.142.12.218,城市缺失,1
200,3240.00362116,15,2,0,0,0,64,3,2,1,2,864,44,77,30,59,35114,0.660000026226,1414,59,108,35,109,0.677999973297,219.137.225.57,广州,1
200,8596.61007141,35,0,0,0,0,53,0,0,0,11,915,54,80,30,64,152,0.875,1368,115,119,49,85,0.991999983788,218.28.234.21,郑州,1
500,16010.0883853,1,0,0,2,2,76,10,0,4,2,973,48,64,86,68,35114,0.875,1473,55,105,112,97,0.991999983788,124.72.93.18,厦门市,1
200,12506.8434894,24,0,0,0,0,71,2,0,2,0,868,75,32,51,59,35114,0.660000026226,1473,110,65,121,111,0.677999973297,211.137.180.198,城市缺失,1
200,0.0,14,0,0,0,0,60,0,3,11,10,778,69,37,51,46,35114,0.991999983788,1240,98,74,82,73,0.991999983788,124.72.93.18,厦门市,1
200,3183.91059125,24,0,0,0,0,88,2,4,0,0,967,112,63,76,36,152,0.875,1492,150,93,136,138,0.875,202.101.77.237,贵阳,1
404,0.0,10,0,2,0,0,48,0,12,0,0,889,42,44,50,51,35114,0.991999983788,1446,76,78,94,85,0.875,211.137.180.198,城市缺失,1
200,14392.908525,36,0,0,0,0,54,0,0,0,11,916,54,80,30,64,152,0.991999983788,1369,115,119,49,85,0.677999973297,211.142.12.218,城市缺失,1
200,743.300171964,4,0,0,0,0,90,11,0,2,0,1007,61,69,69,63,35114,0.875,1449,76,92,84,115,0.677999973297,219.137.225.57,广州,1
200,33449.4975825,6,0,0,0,0,72,2,0,2,0,869,75,32,51,59,152,0.991999983788,1474,110,65,121,111,0.991999983788,202.101.77.237,贵阳,1
200,65473.818677,3,0,0,0,0,91,11,0,2,0,1008,61,69,69,63,152,0.875,1450,76,92,84,115,0.875,116.52.147.144,昆明,1
200,17491.5662786,22,0,0,0,0,77,10,0,4,2,974,48,64,86,68,152,0.991999983788,1474,55,105,112,97,0.677999973297,211.137.180.198,城市缺失,1
200,12879.1379906,12,0,0,1,2,65,3,2,1,2,865,44,77,30,59,152,0.660000026226,1415,59,108,35,109,0.991999983788,218.28.234.21,郑州,1
