name,undefined,type,mean,std
status,0.0,float,241.840333333,87.9310421479
location_speed,0.0,float,23984.0083101,35171.8430119
httpcode_5m_200,0.0,float,11.0596666667,7.73662975002
httpcode_5m_302,0.0,float,0.719333333333,2.21913486646
httpcode_5m_404,0.0,float,0.812666666667,2.25379078197
httpcode_5m_403,0.0,float,0.719666666667,2.13972269751
httpcode_5m_500,0.0,float,0.707,2.07520705794
httpcode_30m_200,0.0,float,60.4283333333,18.9017335331
httpcode_30m_302,0.0,float,4.038,5.44045549564
httpcode_30m_404,0.0,float,4.191,5.04286813232
httpcode_30m_403,0.0,float,3.954,5.85672411279
httpcode_30m_500,0.0,float,3.996,5.12282317998
httpcode_1d_200,0.0,float,798.117666667,217.026891931
httpcode_1d_302,0.0,float,52.146,25.9942561091
httpcode_1d_404,0.0,float,54.4066666667,21.0557345052
httpcode_1d_403,0.0,float,52.2846666667,21.2550456337
httpcode_1d_500,0.0,float,50.71,17.026897349
body_bytes_sent,0.0,float,17761.194,17480.529949
upstream_response_time,0.0,float,0.840407670259,0.137066879179
httpcode_total_200,0.0,float,1484.98233333,108.799111614
httpcode_total_302,0.0,float,94.8933333333,27.6869756785
httpcode_total_404,0.0,float,101.401666667,22.2965243305
httpcode_total_403,0.0,float,97.961,27.8444754365
httpcode_total_500,0.0,float,100.517333333,21.0696867455
request_time,0.0,float,0.846443318804,0.130458589726
remote_addr,IP缺失,str,/,/
location_city,城市缺失,str,/,/
label,0,int,/,/
